month,commodity_name,avg_modal_price
2013-05-01,maize,1272.34
2013-05-01,sugarcane,840.0
2013-05-01,tea,16558.39
2013-05-01,groundnut,4356.49
2013-05-01,cotton,4211.79
2013-05-01,jowar(sorghum),1549.02
2013-05-01,coffee,13309.76
2013-06-01,cotton,4268.85
2013-06-01,rice,2470.67
2013-06-01,barley (jau),1158.79
2013-06-01,turmeric,6101.98
2013-06-01,sunflower,3325.95
2013-06-01,tea,17375.89
2013-06-01,coffee,13605.62
2013-06-01,jowar(sorghum),1591.83
2013-06-01,wheat,1571.73
2013-06-01,coconut,3618.64
2013-06-01,millets,1093.75
2013-06-01,sugar,3456.99
2013-06-01,groundnut,4136.28
2013-06-01,ginger(dry),9834.53
2013-06-01,sugarcane,980.0
2013-06-01,maize,1336.56
2013-07-01,tea,17268.46
2013-07-01,wheat,1550.57
2013-07-01,barley (jau),1161.91
2013-07-01,cotton,4381.19
2013-07-01,ginger(dry),10289.02
2013-07-01,rice,2559.94
2013-07-01,sugar,3421.7
2013-07-01,jowar(sorghum),1548.03
2013-07-01,coconut,3616.8
2013-07-01,groundnut,3953.46
2013-07-01,turmeric,6081.51
2013-07-01,coffee,12559.67
2013-07-01,sunflower,3391.99
2013-07-01,sugarcane,900.0
2013-07-01,maize,1367.22
2013-07-01,millets,1165.22
2013-08-01,ginger(dry),9512.01
2013-08-01,sugar,3429.36
2013-08-01,barley (jau),1138.71
2013-08-01,turmeric,5666.83
2013-08-01,sunflower,3365.29
2013-08-01,sugarcane,2000.0
2013-08-01,cotton,4374.55
2013-08-01,tea,17251.82
2013-08-01,rice,2509.56
2013-08-01,coffee,12592.56
2013-08-01,groundnut,3814.76
2013-08-01,coconut,3016.44
2013-08-01,jowar(sorghum),1540.39
2013-08-01,millets,1190.48
2013-08-01,maize,1362.83
2013-08-01,wheat,1524.62
2013-09-01,coconut,3306.08
2013-09-01,groundnut,3614.05
2013-09-01,wheat,1544.04
2013-09-01,barley (jau),1148.74
2013-09-01,cotton,4587.67
2013-09-01,sugarcane,7.0
2013-09-01,ginger(dry),8387.5
2013-09-01,maize,1384.58
2013-09-01,millets,1326.92
2013-09-01,coffee,12804.0
2013-09-01,rice,2526.25
2013-09-01,tea,17354.48
2013-09-01,turmeric,5374.8
2013-09-01,jowar(sorghum),1571.0
2013-09-01,sugar,3427.86
2013-09-01,sunflower,3329.13
2013-10-01,rice,2549.43
2013-10-01,tea,18046.61
2013-10-01,wheat,1587.48
2013-10-01,cotton,4635.46
2013-10-01,jowar(sorghum),1549.07
2013-10-01,coconut,3453.66
2013-10-01,groundnut,3524.06
2013-10-01,turmeric,5257.3
2013-10-01,maize,1328.57
2013-10-01,sunflower,3242.83
2013-10-01,ginger(dry),6619.06
2013-10-01,sugarcane,666.67
2013-10-01,millets,1994.44
2013-10-01,sugar,3376.02
2013-10-01,coffee,12925.45
2013-10-01,barley (jau),1158.24
2013-11-01,ginger(dry),6062.22
2013-11-01,coffee,12427.82
2013-11-01,wheat,1658.27
2013-11-01,maize,1311.8
2013-11-01,millets,1275.0
2013-11-01,sugarcane,345.0
2013-11-01,cotton,4608.89
2013-11-01,turmeric,5304.87
2013-11-01,barley (jau),1213.72
2013-11-01,jowar(sorghum),1578.85
2013-11-01,sunflower,3302.5
2013-11-01,coconut,3763.62
2013-11-01,rice,2578.87
2013-11-01,tea,20216.87
2013-11-01,sugar,3339.64
2013-11-01,groundnut,3713.05
2013-12-01,coffee,11149.68
2013-12-01,sugar,3313.53
2013-12-01,sugarcane,3670.0
2013-12-01,maize,1298.67
2013-12-01,coconut,3804.4
2013-12-01,jowar(sorghum),1629.0
2013-12-01,wheat,1685.31
2013-12-01,ginger(dry),5800.52
2013-12-01,millets,900.0
2013-12-01,tea,20860.47
2013-12-01,rice,2575.56
2013-12-01,groundnut,3646.6
2013-12-01,barley (jau),1262.3
2013-12-01,cotton,4554.79
2013-12-01,sunflower,3336.15
2013-12-01,turmeric,5501.41
2014-01-01,coffee,10879.5
2014-01-01,groundnut,3477.4
2014-01-01,jowar(sorghum),1644.98
2014-01-01,maize,1269.45
2014-01-01,wheat,1711.22
2014-01-01,coconut,4457.62
2014-01-01,sugar,3266.8
2014-01-01,ginger(dry),6359.74
2014-01-01,cotton,4913.93
2014-01-01,sunflower,3257.38
2014-01-01,rice,2530.48
2014-01-01,tea,18397.27
2014-01-01,turmeric,5798.94
2014-01-01,barley (jau),1286.89
2014-01-01,millets,950.0
